name,yomi,link,pref,city,活動住所,活動場所,活動日,参加条件,定員,費用,ホームページ,備考,募集内容,応募方法,募集開始,募集締切,事務局,TEL,（お願い）,（受付時間）,FAX,E-mail,（その他）,事務局（住所）,その他,募集人員,事務局①,事務局②
小樽少年少女発明クラブ,おたる,http://kids.jiii.or.jp/modules/pico/index.php?content_id=16,北海道,小樽市,北海道小樽市手宮1-3-6,小樽市総合博物館,,,10,,,,,,,,小樽経済センター 内　少年少女発明クラブ事務局,０１３４－２２－１１７７,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１３４－２９－０６３０,,,,,,,
帯広少年少女発明クラブ,おびひろ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=17,北海道,帯広市,帯広市緑ヶ丘2,帯広市児童会館,,,30,,,,,,,,帯広市児童会館内　少年少女発明クラブ事務局,０１５５－２４－２４３４,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１５５－２２－５４０１,,,,,,,
北見少年少女発明クラブ,きたみ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=19,北海道,北見市,北見市公園町1番地,北網圏北見文化センター内,第2・4土曜日（午前）,市内小学5～6年生及び中学生（継続者のみ）,32,,,,,,,,北網圏北見文化センター内　少年少女発明クラブ事務局,０１５７－２３－６７４２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１５７－３１－８３４４,ｂｕｎｋａｚａｉ＠ｃｉｔｙ．ｋｉｔａｍｉ．ｌｇ．ｊｐ,,,,,,
釧路少年少女発明クラブ,くしろ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=22,北海道,釧路市,北海道釧路市城山,北海道教育大学釧路校（理科室）,原則第2・第4土曜日,小学校3年生～中学校3年生（30名）（一部2年生父母付添のみ）,30,,,,,,,,北海道自然環境整備（株）内　少年少女発明クラブ事務局,０１５４－２２－０１７７,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１５４－２２－０１７６,,,,,,,
札幌中島少年少女発明クラブ,さっぽろなかじま,http://kids.jiii.or.jp/modules/pico/index.php?content_id=18,北海道,札幌市中央区,札幌市中央区中島公園1-1,札幌市中島児童会館,土曜日（月１～２回）１３時～１６時,小学校３年生～中学校３年生,１５名,月４００円,,途中入会相談,,希望者先着,４月１０日,４月中,札幌中島少年少女発明クラブ,０１１－８２２－３２１０,※少年少女発明クラブについての件とお伝え下さい。,月曜日～金曜日１０：００～１５：００,０１１－８２２－３２１０,,札幌市中島児童会館011-822-3210,,,,,
札幌西少年少女発明クラブ,さっぽろにし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=12,北海道,札幌市西区,北海道札幌市西区,札幌市立八軒小学校,土曜日　夏・冬休み別途実施,市内在住の小学校3年生～中学校3年生,16名,月額500円,http://www.yume-codomo.com/,ｙｕｍｅ＿ｃｏｄｏｍｏ＠ｙａｈｏｏ．ｃｏ．ｊｐ,,,,,,０９０－８５６９－８０７２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１１－８９８－９７５８,,,,,,,
青森市少年少女発明クラブ,あおもりし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=28,青森県,青森市,青森市松原1-6-15,青森市中央市民センター,原則、毎月第2と第4日曜日午前中、夏・冬休みは１日増,小学校3年生～中学校2年生,60名,年会費5000円,http://www.h5.dion.ne.jp/~sensu/aomori-hatumei-jr-club.page2.html,,,学校を通して募集チラシを児童に配布,毎年度４月はじめ,当日限り,青森市少年少女発明クラブ,０１７－７７４－００３２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9：00～16：00,０１７－７７４－００３２,aomorisshc＠yahoo.co.jp,,,,,,
板柳町少年少女発明クラブ,いたやなぎまち,http://kids.jiii.or.jp/modules/pico/index.php?content_id=36,青森県,北津軽郡板柳町,青森県北津軽郡板柳町大字福野田字実田11-7,板柳町公民館内,土曜日　月1～2回程度,町内在住の小学3年生～中学3年生の児童、生徒,20,,,,,,,,板柳町教育委員会内　少年少女発明クラブ事務局,０１７２－７２－１８００,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,【ここに受付時間が入ります】,０１７２－７２－１８０１,,,,,,,
黒石市少年少女発明クラブ,くろいしし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=31,青森県,黒石市,黒石市内町24-1,黒石市勤労青少年ホーム,土曜日月1～２回程度,市内在中の小学校２年生～中学校３年生,30,年会費３，８００円（傷害保険料を含む）,,,,市広報掲載及び学校へ会員募集チラシ配布,毎年３月に次年度の会員募集,毎年３月下旬,黒石市教育委員会指導課内　少年少女発明クラブ事務局,０１７２－５２－２１１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日9：00～17：00,０１７２－５２－３７７７,ｋｕｒｏ－ｓｈｉｄｏｕ０７＠ｎｅｔ．ｐｒｅｆ．ａｏｍｏｒｉ．ｊｐ,,,,,,
五所川原市少年少女発明クラブ,ごしょがわら,http://kids.jiii.or.jp/modules/pico/index.php?content_id=30,青森県,五所川原市,五所川原市字一ツ谷503-5,五所川原職業能力開発校,毎月第1、3土曜日,小学校3年生～中学校2年生　市内在住者,30名,"年会費　3,500円（傷害保険料を含む）",,,,,,,五所川原市中央公民館内,０１７３－３５－６０５６,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8:00～17:00,０１７３－３５－６０５８,,,,,,,
小泊少年少女発明クラブ,こどまり,http://kids.jiii.or.jp/modules/pico/index.php?content_id=33,青森県,北津軽郡中泊町,青森県北津軽郡中泊町大字小泊字小泊488番地,日本海漁火センター,主に土曜日（年１５回）,地域在住の小学校４年生～中学校３年生,２０名,"年会費1,000円、大会参加費3,000円",開設なし,,,対象とする児童・生徒にクラブ員募集案内を配布,４月上旬,４月中旬,中泊町教育委員会小泊事務所,０１７３－６４－２６７９,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,午前8:30～午後16:30,０１７３－６４－３７２２,,,,,,,
十和田市少年少女発明クラブ,とわだし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=26,青森県,十和田市,十和田市西六番町5-10,十和田市南公民館　発明クラブ研修棟,毎週日曜日又は土曜日の午前（エジソン班目ドリーム班クラスを交互に開講）,エジソン班……小学5年生～中学生　ドリーム班……小学3年生～小学4年生,90名,"教材費　エジソン班3,500円、ドリーム班3,000円",,,,直接申し込み用紙に記入して持参する,3月下旬,4月上旬,十和田市南公民館　少年少女発明クラブ事務局,０１７６－２２－４４１６,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8：30-17：15,０１７６－２２－４４２９,,,,,,,
